contrast	library	term	nes	nominal_p	fdr	leading_edge_genes
SoravsNC	GO_Biological_Process_2025	Energy Reserve Metabolic Process (GO:0006112)	1.72251383568	0.00634249471459	0.0477532593545	PYGL;GBE1;PPP1R3C;G6PC1;UGP2
SoravsNC	GO_Biological_Process_2025	Epidermal Cell Differentiation (GO:0009913)	-1.7449291464	0.00179211469534	0.0265724006416	EPHA2;JAG1;ADAM9;PIP5K1A;TXNIP;CLIC4;HDAC2;KRT10;CTNNB1;ERCC3
SoravsNC	GO_Biological_Process_2025	Epithelial to Mesenchymal Transition (GO:0001837)	-1.74899148174	0.003663003663	0.0265347835298	TGFBR3;TGFBR2;HNRNPAB;HIF1A;FGFR1;HMGA2;TGFB1;ROCK2;DDX5;TRIM28;HEY1;SLC39A6
SoravsNC	GO_Biological_Process_2025	Establishment of Protein Localization to Mitochondrial Membrane (GO:0090151)	-1.76416432061	0	0.02369286311	HSPA4;TOMM40;HSP90AA1;TOMM5;MTX2;TIMM13;TIMM22;TIMM8B;TOMM22;TIMM10;TIMM9;TOMM70;MAIP1;TIMM10B;TOMM20;COX18
SoravsNC	GO_Biological_Process_2025	Establishment of Protein Localization to Mitochondrion (GO:0072655)	-1.89299558656	0	0.00473619426822	BCAP31;TOMM40;TIMM44;TIMM23;TOMM34;GRPEL2;TIMM17A;TOMM5;TIMM13;GRPEL1;TIMM50;AKT1;AURKAIP1;TOMM40L;HSPD1;TIMM8B;TOMM22;TIMM10;TIMM9;PAM16;TOMM70;DNAJC15;MFN2;TIMM23B;RALA;TOMM20;GDAP1;FIS1;TIMM21;TSPO;CHCHD4
SoravsNC	GO_Biological_Process_2025	Establishment of Protein Localization to Organelle (GO:0072594)	-1.78312853959	0	0.0202561604718	IPO4;NUP155;NUP153;KPNB1;NUP50;RAN;KPNA4;TNPO2;NPM1;NUP93;TNPO1;FAM53B;NUP188;E2F3;CSE1L;IPO7;NUP98;TNPO3;HEATR3;STK4;NUTF2;NUP88;AKT1;NUP62;AKIRIN2;TERT;LAMP1;IPO11;STK24;POM121C;MAP4K5;POM121;SEC13;SIRT6;RALA;TSPAN17
SoravsNC	GO_Biological_Process_2025	Fatty Acid Beta-Oxidation (GO:0006635)	2.20318255761	0	0	ACAD11;ACAA2;ECHDC2;EHHADH;BDH2;ECI2;ACAA1;CRAT;ETFB;ACOX1;HADHB;HADHA;ACADM;ACADS;HADH;ECHS1;ACAD10;DECR1;ABCD4;HSD17B4;CROT;ACOX2;AUH;ACADVL;GCDH
SoravsNC	GO_Biological_Process_2025	Fatty Acid Catabolic Process (GO:0009062)	2.20940386472	0	0	ACAD11;ACAA2;LPIN3;PHYH;ECHDC2;EHHADH;BDH2;ECI2;ACAA1;ACOX1;HADHB;HADHA;ACADM;ACADS;HADH;ECHS1;ACAD10;AIG1;DECR1;ABCD4;HSD17B4;ABHD2;PCCA;CROT;AUH;NUDT7;ABHD3;ILVBL;ACOT8;ACBD5;MCEE;ABCD3
SoravsNC	GO_Biological_Process_2025	Fatty Acid Metabolic Process (GO:0006631)	1.83707581706	0	0.0250475936076	ACSM2B;CES1;PPARA;ACADSB;ACSM2A;CYP4F12;ACSF2;LPIN3;PHYH;ECI2;MSMO1;PNPLA3;GPX4;ACAA1;CRAT;ACOT2;ACOX1;ACOT1;ACSM5;LIPC;ACADM;ACACB;CD36;CYP4F2;ACBD4;PCCA;DBI;CROT;ACOX2;ACSL1;ACLY;ACSM3;ACBD7
SoravsNC	GO_Biological_Process_2025	Fatty Acid Oxidation (GO:0019395)	2.28049863091	0	0	ACAD11;CYP4F3;ACAA2;PHYH;ECHDC2;EHHADH;BDH2;ECI2;ACAA1;ADH5;ACOX1;HADHB;HADHA;ACADM;ACADS;HADH;ECHS1;ACAD10;DECR1;ABCD4;HSD17B4;CYP4F2;CYP4V2;CROT;AUH
