contrast	ensembl_gene_id	gene_symbol	rank_score	stat	log2FoldChange	padj
SpivsNC	ENSG00000151012	SLC7A11	-27.4248090935743	-27.4248090935743	-2.04139490656282	2.25295705316408e-162
SpivsNC	ENSG00000189056	RELN	-26.054925241768	-26.054925241768	-0.973552137905395	1.72829014494936e-146
SpivsNC	ENSG00000101255	TRIB3	-25.9430039567868	-25.9430039567868	-1.69172419577741	2.8961058270103602e-145
SpivsNC	ENSG00000130513	GDF15	-24.7908879723791	-24.7908879723791	-1.63208097579737	1.3684776821597502e-132
SpivsNC	ENSG00000163347	CLDN1	-24.7194535216039	-24.7194535216039	-1.39211059153223	7.4253851653552e-132
SpivsNC	ENSG00000143878	RHOB	-23.782338684435	-23.782338684435	-1.16782768823943	5.30864749940375e-122
SpivsNC	ENSG00000172216	CEBPB	-23.4042247699547	-23.4042247699547	-1.41285347098576	3.76942158099034e-118
SpivsNC	ENSG00000177606	JUN	-21.2300930273208	-21.2300930273208	-1.6765801296699	4.5981194395628503e-97
SpivsNC	ENSG00000139514	SLC7A1	-20.7707210716619	-20.7707210716619	-1.09390150303298	6.84458378433959e-93
SpivsNC	ENSG00000137331	IER3	-20.6573797717785	-20.6573797717785	-1.4919544336052	6.79996902233334e-92
SpivsNC	ENSG00000087074	PPP1R15A	-20.5095743504115	-20.5095743504115	-1.94201381523826	1.35958221216306e-90
SpivsNC	ENSG00000111252	SH2B3	-19.9188315642889	-19.9188315642889	-1.56562586562428	2.04099638940873e-85
TegvsNC	ENSG00000120738	EGR1	-36.3349469093742	-36.3349469093742	-3.15656710663279	7.36142908313254e-285
TegvsNC	ENSG00000151012	SLC7A11	-34.3945609165131	-34.3945609165131	-2.61604524476674	2.46359406581913e-255
TegvsNC	ENSG00000164379	FOXQ1	-33.6740973859486	-33.6740973859486	-1.90887321547053	7.477745238713521e-245
TegvsNC	ENSG00000139269	INHBE	-31.0304032606861	-31.0304032606861	-3.25427415370024	8.496552022725359e-208
TegvsNC	ENSG00000065911	MTHFD2	-29.3941589692942	-29.3941589692942	-1.59495437645468	2.11355347992264e-186
TegvsNC	ENSG00000101255	TRIB3	-29.2318483641714	-29.2318483641714	-1.91733596905365	2.0631101352838698e-184
TegvsNC	ENSG00000129474	AJUBA	-28.1501071927291	-28.1501071927291	-1.37207520522133	5.53054395062961e-171
TegvsNC	ENSG00000070669	ASNS	-27.3433667318134	-27.3433667318134	-2.2188009422467	2.6230069124994e-161
TegvsNC	ENSG00000135069	PSAT1	-24.8176232469038	-24.8176232469038	-1.59407544637599	1.04169256559003e-132
TegvsNC	ENSG00000139289	PHLDA1	-24.2570432654243	-24.2570432654243	-1.21592512857691	9.02925993968157e-127
TegvsNC	ENSG00000111252	SH2B3	-24.0463550941049	-24.0463550941049	-1.97044447445846	1.3425572821335499e-124
TegvsNC	ENSG00000130766	SESN2	-23.9793238592252	-23.9793238592252	-2.13166994508964	6.17159305336074e-124
TegvsNC	ENSG00000128272	ATF4	-23.8776779071458	-23.8776779071458	-1.08074083203346	6.51298352979258e-123
TegvsNC	ENSG00000143878	RHOB	-23.4383006995204	-23.4383006995204	-1.15214562383327	2.01385798694442e-118
TegvsNC	ENSG00000136997	MYC	-23.0575117043127	-23.0575117043127	-1.18067409895744	1.3358738860153499e-114
TegvsNC	ENSG00000162772	ATF3	-22.5663505881441	-22.5663505881441	-3.23152289273492	9.39793588910925e-110
TegvsNC	ENSG00000100219	XBP1	-22.5624166091983	-22.5624166091983	-1.15653377239869	9.66785953129746e-110
TegvsNC	ENSG00000172216	CEBPB	-22.5038266056387	-22.5038266056387	-1.35884298765868	3.42763024970322e-109
TegvsNC	ENSG00000153395	LPCAT1	22.306909033893	22.306909033893	1.2059260409966	2.7003910383128e-107
TegvsNC	ENSG00000137801	THBS1	-22.1375829436723	-22.1375829436723	-1.22052350818051	1.11329968024236e-105
